[Log] 5 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:36:33 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36661413502448 (index.js, line 82)
[Log] Longitude: -75.77902989469075 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 6 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:36:34 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36661413502448 (index.js, line 82)
[Log] Longitude: -75.77902989469075 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 7 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:36:34 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36661413502448 (index.js, line 82)
[Log] Longitude: -75.77902989469075 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 8 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:36:35 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.3665914619764 (index.js, line 82)
[Log] Longitude: -75.77908026992881 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 9 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:36:36 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.3665914619764 (index.js, line 82)
[Log] Longitude: -75.77908026992881 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 10 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:36:37 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.3665914619764 (index.js, line 82)
[Log] Longitude: -75.77908026992881 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 11 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:36:38 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.3665914619764 (index.js, line 82)
[Log] Longitude: -75.77908026992881 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 12 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:36:39 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.3665914619764 (index.js, line 82)
[Log] Longitude: -75.77908026992881 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 13 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:36:40 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.3665914619764 (index.js, line 82)
[Log] Longitude: -75.77908026992881 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 14 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:36:41 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.3665914619764 (index.js, line 82)
[Log] Longitude: -75.77908026992881 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 15 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:36:43 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.3665914619764 (index.js, line 82)
[Log] Longitude: -75.77908026992881 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 16 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:36:43 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.3665914619764 (index.js, line 82)
[Log] Longitude: -75.77908026992881 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 17 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:36:45 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.3665914619764 (index.js, line 82)
[Log] Longitude: -75.77908026992881 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 18 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:36:46 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.3665914619764 (index.js, line 82)
[Log] Longitude: -75.77908026992881 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 19 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:36:47 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.3665914619764 (index.js, line 82)
[Log] Longitude: -75.77908026992881 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 20 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:36:48 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.3665914619764 (index.js, line 82)
[Log] Longitude: -75.77908026992881 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 21 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:36:49 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.3665914619764 (index.js, line 82)
[Log] Longitude: -75.77908026992881 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 22 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:36:50 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.3665914619764 (index.js, line 82)
[Log] Longitude: -75.77908026992881 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 23 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:36:51 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.3665914619764 (index.js, line 82)
[Log] Longitude: -75.77908026992881 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 24 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:36:52 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.3665914619764 (index.js, line 82)
[Log] Longitude: -75.77908026992881 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 25 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:36:53 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.3665914619764 (index.js, line 82)
[Log] Longitude: -75.77908026992881 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 26 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:36:54 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.366577128921975 (index.js, line 82)
[Log] Longitude: -75.77904037206972 (index.js, line 83)
