[Log] 13 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:45:26 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36423118597872 (index.js, line 82)
[Log] Longitude: -75.78404673411569 (index.js, line 83)
[Log] Accuracy: 5 (index.js, line 84)
[Log] 14 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:45:27 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36430416112651 (index.js, line 82)
[Log] Longitude: -75.78387828078121 (index.js, line 83)
[Log] Accuracy: 5 (index.js, line 84)
[Log] 15 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:45:29 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.364376393602925 (index.js, line 82)
[Log] Longitude: -75.78371154115302 (index.js, line 83)
[Log] Accuracy: 5 (index.js, line 84)
[Log] 16 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:45:30 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.364446711575695 (index.js, line 82)
[Log] Longitude: -75.78354507800896 (index.js, line 83)
[Log] Accuracy: 5 (index.js, line 84)
[Log] 17 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:45:30 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.364514205466065 (index.js, line 82)
[Log] Longitude: -75.78338482017443 (index.js, line 83)
[Log] Accuracy: 5 (index.js, line 84)
[Log] 18 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:45:31 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36458743835552 (index.js, line 82)
[Log] Longitude: -75.7832175344538 (index.js, line 83)
[Log] Accuracy: 5 (index.js, line 84)
[Log] 19 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:45:33 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.364661953400706 (index.js, line 82)
[Log] Longitude: -75.78304731977369 (index.js, line 83)
[Log] Accuracy: 5 (index.js, line 84)
[Log] 20 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:45:34 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.3647306197837 (index.js, line 82)
[Log] Longitude: -75.78288075138516 (index.js, line 83)
[Log] Accuracy: 5 (index.js, line 84)
[Log] 21 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 19:45:35 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.36480353861738 (index.js, line 82)
[Log] Longitude: -75.78271164182297 (index.js, line 83)
[Log] Accuracy: 5 (index.js, line 84)
