[Log] 1 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:36:29 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.366570758675564 (try.html, line 34)
[Log] Longitude: -75.77907876118624 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 2 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:36:30 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.36659711976104 (try.html, line 34)
[Log] Longitude: -75.77901916585469 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 3 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:36:31 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.36660893824451 (try.html, line 34)
[Log] Longitude: -75.77901262797022 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 4 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:36:32 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.36661371592932 (try.html, line 34)
[Log] Longitude: -75.77899846255386 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 5 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:36:33 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.36660814196371 (try.html, line 34)
[Log] Longitude: -75.77899980365837 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 6 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:36:34 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.366616984871555 (try.html, line 34)
[Log] Longitude: -75.77899712144935 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 7 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:36:35 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.366616272409786 (try.html, line 34)
[Log] Longitude: -75.77899033210778 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 8 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:36:36 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.366610321258534 (try.html, line 34)
[Log] Longitude: -75.7789858896991 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 9 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:36:37 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.36660654940211 (try.html, line 34)
[Log] Longitude: -75.77898739844167 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 10 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:36:38 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.36660654940211 (try.html, line 34)
[Log] Longitude: -75.77898739844167 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 11 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:36:39 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.36660654940211 (try.html, line 34)
[Log] Longitude: -75.77898739844167 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 12 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:36:40 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.36660654940211 (try.html, line 34)
[Log] Longitude: -75.77898739844167 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 13 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:36:41 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.36660654940211 (try.html, line 34)
[Log] Longitude: -75.77898739844167 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 14 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:36:42 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.36660654940211 (try.html, line 34)
[Log] Longitude: -75.77898739844167 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 15 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:36:43 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.36660654940211 (try.html, line 34)
[Log] Longitude: -75.77898739844167 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 16 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:36:44 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.36660654940211 (try.html, line 34)
[Log] Longitude: -75.77898739844167 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 17 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:36:45 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.36660654940211 (try.html, line 34)
[Log] Longitude: -75.77898739844167 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 18 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:36:46 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.36660654940211 (try.html, line 34)
[Log] Longitude: -75.77898739844167 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 19 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:36:47 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.36660654940211 (try.html, line 34)
[Log] Longitude: -75.77898739844167 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 20 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:36:48 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.36660654940211 (try.html, line 34)
[Log] Longitude: -75.77898739844167 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 21 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:36:49 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.36660654940211 (try.html, line 34)
[Log] Longitude: -75.77898739844167 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 22 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:36:50 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.36660654940211 (try.html, line 34)
[Log] Longitude: -75.77898739844167 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 23 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:36:51 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.36660654940211 (try.html, line 34)
[Log] Longitude: -75.77898739844167 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 24 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:36:52 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.36660654940211 (try.html, line 34)
[Log] Longitude: -75.77898739844167 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 25 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:36:53 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.36660654940211 (try.html, line 34)
[Log] Longitude: -75.77898739844167 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 26 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:36:54 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.36660654940211 (try.html, line 34)
[Log] Longitude: -75.77898739844167 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 27 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:36:55 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.36660654940211 (try.html, line 34)
[Log] Longitude: -75.77898739844167 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 28 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:36:56 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.36660654940211 (try.html, line 34)
[Log] Longitude: -75.77898739844167 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 29 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:36:57 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.36657633264117 (try.html, line 34)
[Log] Longitude: -75.77906451195085 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 30 (try.html, line 32)
